date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:07	14044/14044	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:06%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/menu2_2000x.jpg?v=1542965408	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/menu2_2000x132b.jpg	(from https://waffy-demo.myshopify.com/)
10:50:09	19545/19545	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:08%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/menu3_2000x.jpg?v=1542965403	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/menu3_2000xee31.jpg	(from https://waffy-demo.myshopify.com/)
10:50:10	35198/35198	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:09%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/menu4_2000x.jpg?v=1542965396	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/menu4_2000x971d.jpg	(from https://waffy-demo.myshopify.com/)
10:50:18	112853/112853	---MCZ	200	added ('OK')	text/html	etag:cacheable:62e3fc23fdb6415ea3ef213316775c83	https://waffy-demo.myshopify.com/pages/about-us	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/pages/about-us.html	(from https://waffy-demo.myshopify.com/)
10:50:18	46359/46359	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:12%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/menu7_2000x.jpg?v=1542965428	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/menu7_2000x0018.jpg	(from https://waffy-demo.myshopify.com/)
10:50:19	36831/36831	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:13%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/menu5_2000x.jpg?v=1542965381	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/menu5_2000xb18d.jpg	(from https://waffy-demo.myshopify.com/)
10:50:20	102167/102167	---MCZ	200	added ('OK')	text/html	etag:cacheable:7dd4ce076d7e34c7f87fc047e31fdb7f	https://waffy-demo.myshopify.com/pages/contact-us	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/pages/contact-us.html	(from https://waffy-demo.myshopify.com/)
10:50:21	100043/100043	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:10%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/menu6_2000x.jpg?v=1542965424	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/menu6_2000x6884.jpg	(from https://waffy-demo.myshopify.com/)
10:50:22	121052/121052	---MCZ	200	added ('OK')	text/html	etag:cacheable:cd81c8c3c1c9897d47d120254a9d0add	https://waffy-demo.myshopify.com/blogs/news	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/blogs/news.html	(from https://waffy-demo.myshopify.com/)
10:50:23	97223/97223	---MCZ	200	added ('OK')	text/html	etag:cacheable:db2e24a35f8b1979e09c590af863b32c	https://waffy-demo.myshopify.com/search	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/search.html	(from https://waffy-demo.myshopify.com/)
